nominal_coverage,observed_coverage,covered_count
0.05,0.0104,2
0.15,0.0312,6
0.25,0.0729,14
0.35,0.1719,33
0.45,0.2969,57
0.55,0.4271,82
0.65,0.5885,113
0.75,0.6979,134
0.85,0.7969,153
0.95,0.901,173
